Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
88369,1132.3999999999999 px,440.97171603329224,256.9965309655567,1.7158664141361206,error,89229,335.43241544117586,0.7835242587601078,0.9903618778648198,0.8659844288572901,0.7606665081799749,0.004990117756603472,0.0010305468411961176,0.5786135366667159,0.9928235343309363,CALI
77106,1078.866 px,424.46770722501554,233.26115483125346,1.8197102193551487,0.8354686917711809,78310,313.32795651896345,0.7405635913098599,0.9846252075086196,0.8324593289294947,0.7381667702529475,0.005504989329300126,0.0010082174448023927,0.5448901807056679,0.9915422302563774,CALI
84292,1151.256 px,427.4105530492789,251.95548752226247,1.6963732651844443,0.8077735560012633,85440,327.6032779213547,0.7187611917390044,0.986563670411985,0.7991943579632577,0.7664838305561987,0.005070594517264733,0.0010795695725327214,0.5874974625041035,0.9966149887556616,BARBUNYA
75810,1043.2289999999998 px,393.0424863190654,247.11058176079214,1.5905530370995533,0.7776381214755422,76802,310.6835848357178,0.80557238037553,0.9870836696961016,0.8753405715607985,0.7904580182802681,0.005184573094830041,0.0012485559292713866,0.6248238786635687,0.993815517860662,CALI
150169,1496.077 px,562.8234367777799,342.7948749161875,1.6418665445782665,0.7931219219903101,151971,437.2654905127257,0.779026275516821,0.9881424745510656,0.8431061554610899,0.7769141473853933,0.0037479335733592144,8.422941170072084E-4,0.6035955924075729,0.9910234096288935,BOMBAY
140313,1432.029 px,517.4259023055909,347.25430444360313,1.4900489228913933,0.7413497263285365,141966,422.6725212743607,0.7212404391808537,0.9883563670174549,0.8598132795859827,0.8168754586714351,0.0036876547597556237,0.0010128693124783453,0.6672855149796674,0.9942880628564822,BOMBAY
62761,1026.847 px,356.4494250412492,225.82379836664938,1.578440481558613,0.7737126267212658,64077,282.6831920491976,0.7115759637188208,0.9794622095291602,0.7479769963329197,0.7930527367703982,0.0056794733200753525,0.0013857857756134385,0.6289326432990187,0.9927327443568345,BARBUNYA
195455,1716.411 px,633.8275833216708,396.8950788955631,1.5969650847912198,0.7796722906393386,198403,498.85973501196827,0.7590249623312674,0.9851413537093693,0.833708195061423,0.7870590490833757,0.003242831256921904,7.675971953092701E-4,0.6194619467440275,0.9892591003070103,BOMBAY
64388,973.0250000000001 px,374.4032686460166,220.62018743371934,1.6970490008240888,0.8079448008308021,65308,286.3238512705633,0.7838811784757731,0.9859129050039811,0.8546077007449727,0.7647471997400511,0.005814798854538371,0.0012268346702019653,0.5848382795102497,0.9924992178865486,CALI
73973,1054.1499999999999 px,401.1511692146249,236.88157788140887,1.6934671442261966,0.8070343326323411,74875,306.8963161113117,0.7158977634545964,0.9879532554257096,,0.7650390667242835,0.00542294038655489,0.001145906135986536,0.5852847736143627,0.9911605341317908,CALI
