"Area","Perimeter","MajorAxisLength","MinorAxisLength","AspectRation","Eccentricity","ConvexArea","EquivDiameter","Extent","Solidity","roundness","Compactness","ShapeFactor1","ShapeFactor2","ShapeFactor3","ShapeFactor4","class"
88369,1132.4,440.971716033292,256.996530965557,1.71586641413612,,89229,335.432415441176,0.783524258760108,0.99036187786482,0.86598442885729,0.760666508179975,0.00499011775660347,0.00103054684119612,0.578613536666716,0.992823534330936,"CALI"
77106,1078.866,424.467707225016,233.261154831253,1.81971021935515,0.835468691771181,78310,313.327956518963,0.74056359130986,0.98462520750862,0.832459328929495,0.738166770252948,0.00550498932930013,0.00100821744480239,0.544890180705668,0.991542230256377,"CALI"
84292,1151.256,427.410553049279,251.955487522262,1.69637326518444,0.807773556001263,85440,327.603277921355,0.718761191739004,0.986563670411985,0.799194357963258,0.766483830556199,0.00507059451726473,0.00107956957253272,0.587497462504104,0.996614988755662,"BARBUNYA"
75810,1043.229,393.042486319065,247.110581760792,1.59055303709955,0.777638121475542,76802,310.683584835718,0.80557238037553,0.987083669696102,0.875340571560798,0.790458018280268,0.00518457309483004,0.00124855592927139,0.624823878663569,0.993815517860662,"CALI"
62761,1026.847,356.449425041249,225.823798366649,1.57844048155861,0.773712626721266,64077,282.683192049198,0.711575963718821,0.97946220952916,0.74797699633292,0.793052736770398,0.00567947332007535,0.00138578577561344,0.628932643299019,0.992732744356834,"BARBUNYA"
64388,973.025,374.403268646017,220.620187433719,1.69704900082409,0.807944800830802,65308,286.323851270563,0.783881178475773,0.985912905003981,0.854607700744973,0.764747199740051,0.00581479885453837,0.00122683467020197,0.58483827951025,0.992499217886549,"CALI"
73973,1054.15,401.151169214625,236.881577881409,1.6934671442262,0.807034332632341,74875,306.896316111312,0.715897763454596,0.98795325542571,,0.765039066724283,0.00542294038655489,0.00114590613598654,0.585284773614363,0.991160534131791,"CALI"
55429,911.762,327.824858335282,215.909779540606,1.51834186961239,0.752481661281077,56253,265.658417380525,0.728763196991809,0.985351892343519,0.837884066311274,0.810366909725996,0.00591432027161382,0.00157329947192232,0.65669452837886,0.997086797982985,"BARBUNYA"
89280,1144.377,448.953874115335,254.708558170551,1.76261794004863,0.823485082965186,90253,337.156976131231,0.796147672552167,0.989219194929808,0.8566941559418,0.75098355436981,0.00502860522082589,0.000986617946565697,0.563976298933914,0.994074742263149,"CALI"
70332,1004.224,377.663977162396,237.54788863573,1.58984354410124,0.777411197627959,70976,299.248197421995,0.710510364892714,0.990926510369702,0.876398526440981,0.792366271388702,0.00536973180291184,0.00130567858267761,0.627844308034434,0.998174219829254,"CALI"
